symbol,companyName,lastPrice,change,pChange,dayHigh,dayLow,totalTradedVolume,timestamp
C,,,,,,,,2025-05-07 08:06:07
S,,,,,,,,2025-05-07 08:06:07
 ,,,,,,,,2025-05-07 08:06:07
T,,,,,,,,2025-05-07 08:06:12
C,,,,,,,,2025-05-07 08:06:12
S,,,,,,,,2025-05-07 08:06:13
 ,,,,,,,,2025-05-07 08:06:14
T,,,,,,,,2025-05-07 08:06:19
C,,,,,,,,2025-05-07 08:06:19
S,,,,,,,,2025-05-07 08:06:19
 ,,,,,,,,2025-05-07 08:06:19
T,,,,,,,,2025-05-07 08:06:25
C,,,,,,,,2025-05-07 08:06:25
S,,,,,,,,2025-05-07 08:06:25
 ,,,,,,,,2025-05-07 08:06:25
T,,,,,,,,2025-05-07 08:11:55
C,,,,,,,,2025-05-07 08:11:55
S,,,,,,,,2025-05-07 08:11:56
 ,,,,,,,,2025-05-07 08:11:56
T,,,,,,,,2025-05-07 08:12:02
C,,,,,,,,2025-05-07 08:12:02
S,,,,,,,,2025-05-07 08:12:02
 ,,,,,,,,2025-05-07 08:12:02
T,,,,,,,,2025-05-07 08:12:07
C,,,,,,,,2025-05-07 08:12:07
S,,,,,,,,2025-05-07 08:12:07
 ,,,,,,,,2025-05-07 08:12:07
T,,,,,,,,2025-05-07 08:12:13
C,,,,,,,,2025-05-07 08:12:14
S,,,,,,,,2025-05-07 08:12:15
 ,,,,,,,,2025-05-07 08:12:15
T,,,,,,,,2025-05-07 08:12:21
C,,,,,,,,2025-05-07 08:12:21
S,,,,,,,,2025-05-07 08:12:21
 ,,,,,,,,2025-05-07 08:12:21
T,,,,,,,,2025-05-07 08:12:26
C,,,,,,,,2025-05-07 08:12:26
S,,,,,,,,2025-05-07 08:12:26
 ,,,,,,,,2025-05-07 08:12:26
T,,,,,,,,2025-05-07 08:12:32
C,,,,,,,,2025-05-07 08:12:32
S,,,,,,,,2025-05-07 08:12:33
 ,,,,,,,,2025-05-07 08:12:33
T,,,,,,,,2025-05-07 08:12:38
C,,,,,,,,2025-05-07 08:12:38
S,,,,,,,,2025-05-07 08:12:38
 ,,,,,,,,2025-05-07 08:12:38
T,,,,,,,,2025-05-07 08:12:43
C,,,,,,,,2025-05-07 08:12:44
S,,,,,,,,2025-05-07 08:12:44
 ,,,,,,,,2025-05-07 08:12:45
T,,,,,,,,2025-05-07 08:12:50
C,,,,,,,,2025-05-07 08:12:51
S,,,,,,,,2025-05-07 08:12:51
 ,,,,,,,,2025-05-07 08:12:52
T,,,,,,,,2025-05-07 08:12:57
C,,,,,,,,2025-05-07 08:12:57
S,,,,,,,,2025-05-07 08:12:57
 ,,,,,,,,2025-05-07 08:12:57
T,,,,,,,,2025-05-07 08:13:02
C,,,,,,,,2025-05-07 08:13:02
S,,,,,,,,2025-05-07 08:13:02
 ,,,,,,,,2025-05-07 08:13:02
